,ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,GENDER,BIRTHPLACE,ADDRESS,AGE
0,71949668-1c2e-43ae-ab0a-64654608defb,5/28/88,,999-60-7250,S99965240,X22244130X,Mrs.,Elly802,Koss811,,Upton199,M,hispanic,F,Lexington MA US,609 Lizeth Streets Bolton MA 01740 US,29
1,c2caaace-9119-4b2d-a2c3-4040f5a9cf32,9/22/36,11/6/87,999-25-1103,S99982785,X64352363X,Mr.,Kim254,Barrows624,,,S,asian,M,Worcester MA US,646 McCullough Points Suite 161 Attleboro MA 02703 US,81
2,96b24072-e1fe-49cd-a22a-6dfb92c3994c,8/9/39,,999-31-1262,S99997863,X20513467X,Ms.,Jacquelyn868,Shanahan20,,,S,hispanic,F,Bellingham MA US,365 Della Crossroad Suite 202 Deerfield MA 01342 US,78
3,de43eb48-496c-46d4-8c5b-be6125a38c15,9/4/31,10/9/81,999-32-6726,S99920382,FALSE,Mr.,Nicholas299,Lind290,,,S,black,M,Arlington MA US,126 Kshlerin Ville Chicopee MA O1013 US,86
4,79266ca2-b4e3-45e5-af65-7914bd4511a0,8/20/68,,999-92-1525,S99919354,X71872112X,Mr.,Maxwell713,Dietrich937,,,M,hispanic,M,Springfield MA US,635 Smitham Burgs Fall River MA 02721 US,49
5,31410948-38be-4990-be5e-a47ab44f33a1,11/13/21,3/25/12,999-13-7228,S99945863,FALSE,Mrs.,Margarita273,Wunsch143,,Olson246,M,white,F,Boston MA US,492 Kozey Garden Apt. 713 North Reading MA 01864 US,96
6,b1943aad-500b-4b22-8da8-b4d9c667c763,10/28/30,,999-20-5217,S99950385,FALSE,Mr.,Travis50,West388,,,M,hispanic,M,Braintree Town MA US,750 Mosciski Ferry Dedham MA 02026 US,87
7,443a0255-5584-45d9-93ca-9174f1d45f03,5/12/33,4/13/98,999-95-9918,S99940088,X67890958X,Mr.,Ricardo852,Bechtelar628,,,S,hispanic,M,Easton MA US,7134 Schmitt Passage Suite 889 Cambridge MA 02141 US,84
8,00630ce3-e8eb-4ed4-889b-2c0ac257cbf4,3/20/03,,999-23-2870,,,,Tyree852,Eichmann822,,,,hispanic,M,Fall River MA US,45326 Soledad Plaza Wilmington MA 01887 US,14
9,2c884d0f-62a1-4371-becc-36a98cdc4f52,2/7/21,8/22/16,999-48-6738,S99951685,FALSE,Mrs.,Tammara310,Stamm923,,Goodwin128,M,hispanic,F,Lynn MA US,4716 Moen Stream Worcester MA 01604 US,96
